date,intersection,code,timeslot,mode,veh_id,forced_chain
16/06/2025,D1,A,AM1,bike,31,"[turn_Roentgenstr_EB_2_Zollstr_EB, Zollstr_EB]"
16/06/2025,D1,A,AM1,bike,32,[turn_LangstrS_NB_2_LangstrN_NB]
16/06/2025,D1,A,AM1,bike,46,[Roentgenstr_EB]
16/06/2025,D1,A,AM1,bike,94,"[LangstrS_NB, turn_LangstrS_NB_2_Roentgenstr_WB, LangstrS_SB]"
16/06/2025,D1,A,AM1,bike,178,"[turn_Roentgenstr_EB_2_Zollstr_EB, Zollstr_EB, turn_Zollstr_EB_2_Matteng_NB, Matteng_NB]"
16/06/2025,D1,A,AM1,bike,209,"[Roentgenstr_EB, turn_Roentgenstr_EB_2_Zollstr_EB, Zollstr_EB, turn_Zollstr_EB_2_Matteng_NB, Matteng_NB]"
16/06/2025,D1,A,AM1,bike,243,"[turn_Roentgenstr_EB_2_Zollstr_EB, Zollstr_EB]"
16/06/2025,D1,A,AM1,bike,290,"[LangstrS_NB, turn_LangstrS_NB_2_Zollstr_EB, Zollstr_EB, turn_Zollstr_EB_2_Matteng_NB, Matteng_NB]"
30/09/2025,D1,H,PM1,bike,21,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_BaslerstrW_WB, BaslerstrW_WB]"
30/09/2025,D1,H,PM1,bike,32,"[FreihofstrS_NB, turn_FreihofstrS_NB_2_BaslerstrW_WB, BaslerstrW_EB, BaslerstrW_WB]"
30/09/2025,D1,H,PM1,bike,35,"[FreihofstrN_SB, FreihofstrN_NB, turn_FreihofstrN_SB_2_BaslerstrE_EB, BaslerstrE_WB, BaslerstrE_EB]"
30/09/2025,D1,H,PM1,bike,41,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_BaslerstrW_WB, BaslerstrW_WB]"
30/09/2025,D1,H,PM1,bike,91,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_BaslerstrW_WB, BaslerstrW_WB]"
30/09/2025,D1,H,PM1,bike,101,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_BaslerstrW_WB, BaslerstrW_WB]"
30/09/2025,D1,H,PM1,bike,287,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_BaslerstrW_WB, BaslerstrW_WB]"
30/09/2025,D1,H,PM1,bike,306,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_BaslerstrW_WB, BaslerstrW_WB]"
30/09/2025,D1,H,PM1,bike,308,"[FreihofstrS_NB, turn_FreihofstrS_NB_2_BaslerstrE_EB, BaslerstrE_EB, BaslerstrE_WB]"
30/09/2025,D1,H,PM1,bike,313,"[FreihofstrN_NB, FreihofstrN_SB, turn_FreihofstrN_SB_2_FreihofstrS_SB, FreihofstrS_SB]"
30/09/2025,D1,H,PM1,bike,417,"[FreihofstrN_SB, turn_FreihofstrN_SB_2_BaslerstrE_EB, BaslerstrE_EB]"
30/09/2025,D1,H,PM1,bike,427,"[FreihofstrN_SB, turn_FreihofstrN_SB_2_BaslerstrE_EB, BaslerstrE_EB]"
30/09/2025,D1,H,PM1,bike,490,"[FreihofstrN_SB, FreihofstrN_NB]"
30/09/2025,D1,H,PM1,bike,517,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_FreihofstrS_SB, FreihofstrS_SB]"
30/09/2025,D1,H,PM1,bike,543,"[BaslerstrW_EB, BaslerstrW_WB]"
30/09/2025,D1,H,PM2,bike,78,[BaslerstrW_WB]
30/09/2025,D1,H,PM2,bike,161,[FreihofstrN_NB]
30/09/2025,D1,H,PM2,bike,168,"[BaslerstrW_EB, turn_BaslerstrW_EB_2_FreihofstrN_NB, BaslerstrW_WB]"
30/09/2025,D1,H,PM2,bike,181,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_BaslerstrW_WB, BaslerstrW_WB]"
30/09/2025,D1,H,PM2,bike,200,"[FreihofstrS_NB, FreihofstrS_SB, turn_FreihofstrS_NB_2_BaslerstrW_WB, BaslerstrW_EB, BaslerstrW_WB]"
30/09/2025,D1,H,PM2,bike,337,"[BaslerstrW_WB, BaslerstrW_EB, turn_BaslerstrW_EB_2_BaslerstrE_EB, BaslerstrE_EB]"
30/09/2025,D1,H,PM2,bike,338,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_FreihofstrS_SB, FreihofstrS_NB, FreihofstrS_SB,  turn_FreihofstrS_NB_2_BaslerstrW_WB, BaslerstrW_WB] "
30/09/2025,D1,H,PM2,bike,384,"[FreihofstrN_SB, turn_FreihofstrN_SB_2_BaslerstrW_WB, BaslerstrW_WB]"
30/09/2025,D1,H,PM2,bike,422,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_BaslerstrW_WB, BaslerstrW_WB]"
30/09/2025,D1,H,PM2,bike,427,"[BaslerstrE_WB, turn_BaslerstrE_WB_2_FreihofstrS_SB, FreihofstrS_SB]"
30/09/2025,D1,H,PM2,bike,439,"[BaslerstrW_WB, BaslerstrW_EB, turn_BaslerstrW_EB_2_BaslerstrE_EB, BaslerstrE_EB]"
